1000000 100000
1 899401 132480
0 445590 795368
1 626048 59656
0 817573 3195
1 760177 793359
0 813380 506909
0 557323 220807
0 242447 296842
1 951562 107727
1 300756 240288
1 499592 797007
0 391708 813604
1 215192 199012
0 628531 859559
1 972221 462033
1 63654 656514
0 374073 615239
1 587475 636025
0 333384 21145
1 281341 83789
0 247569 436098
1 744000 534221
1 943399 407232
1 591053 739548
1 871411 319741
1 852939 707014
0 159101 389316
0 380862 337403
0 932537 201007
1 748494 981736
0 900365 65945
0 592184 201590
1 955558 89461
0 339121 393820
1 537526 754619
1 508416 742879
1 864495 452344
0 469273 106798
1 404594 202210
0 973198 58950
1 525509 245630
1 826241 378588
1 906196 791734
0 174712 715213
0 952625 150662
1 327605 521554
0 602597 339934
1 433793 431341
1 428412 293380
1 930217 60222
1 91687 779602
0 18470 106651
1 130092 772658
1 970773 113865
1 860324 733361
1 102570 652825
1 973067 164449
0 333109 365181
0 333576 438795
0 990010 714510
1 888344 865077
0 507908 714372
0 227723 206442
0 574781 281958
1 158313 725056
1 880472 590927
1 607518 690039
1 25920 967622
0 21104 908415
1 199063 237502
0 65107 274862
1 926184 403575
0 423839 627329
1 618874 966301
0 261933 792862
1 886753 680085
0 625757 71938
1 577194 566419
0 415836 46345
1 503202 593952
0 536166 812334
1 641088 444857
1 41051 447508
0 978551 609652
0 514452 680506
1 87864 256315
0 909863 992297
1 647260 97512
0 756177 833504
1 836716 987924
0 895412 691249
1 915220 858705
1 582957 271037
0 132560 176308
1 186889 801125
0 255124 784622
1 427790 767346
1 985666 201816
0 76435 954826
1 945925 455185
1 813815 316790
0 778626 54920
0 386386 482254
0 608371 309751
1 708449 48179
0 218273 254410
1 57183 435737
0 436008 577259
1 363705 723229
1 345964 895386
1 585661 732956
1 416011 641667
0 599602 17554
1 537977 681269
0 761493 951572
1 893720 393861
0 52416 941688
1 362690 15199
0 720046 578782
0 905146 562572
1 978149 392743
1 921008 821384
0 52588 137517
0 349927 55830
0 24252 977096
1 429393 333190
0 606316 318301
0 396134 186462
0 171851 332791
0 880078 950905
0 926988 585350
0 4710 90698
1 935121 12253
0 952372 68578
1 981538 687429
1 45701 586374
1 543669 241692
1 41351 761291
0 397227 974336
0 433288 662506
1 955996 234495
0 315555 991817
1 284359 175470
1 599142 619862
0 573892 866097
1 676772 475331
1 376963 664436
0 183284 520478
1 3254 607546
1 335546 242815
0 861290 459393
1 247117 537118
1 655555 430209
0 56402 341741
0 844589 356508
1 808087 475437
1 228804 901928
0 341994 387177
1 434428 285666
0 523588 514265
0 433067 533870
1 719764 215907
1 952583 547021
0 161746 241689
1 334844 939418
1 311875 208360
1 759671 85834
0 943482 21662
1 67295 381184
1 164556 821095
0 614670 456487
1 584542 469527
0 520652 839832
0 474383 996491
1 710628 393210
1 593704 637247
1 860407 737391
0 800017 738581
0 313764 696519
1 386912 385480
1 927034 79769
1 315171 244360
0 488359 873512
0 847508 698435
1 631086 155934
0 87895 845523
1 838096 309648
1 520022 673786
0 846615 894212
0 350690 918347
0 564410 627388
0 925867 255497
1 283283 863781
0 493231 965890
0 458432 363773
0 966077 960117
0 665745 393617
0 96895 451261
1 186303 858331
0 708350 917713
1 90204 478677
0 815803 360971
1 48659 812923
0 991227 481432
0 610537 650198
0 971041 804987
0 985562 952839
0 174099 419164
1 15007 853234
0 463147 479572
1 14876 525528
0 699930 815676
1 623223 216091
0 949194 447624
0 20136 378991
1 933890 220294
1 531312 819576
0 920745 766427
1 323780 851563
0 418838 271559
1 219894 18217
0 592206 576675
1 346507 933214
0 941176 799626
0 272574 55990
0 677823 108045
0 13700 541219
1 786404 424329
1 598210 509985
0 307525 825674
0 300533 274934
1 32892 42973
1 221277 207850
1 187437 571213
0 443770 60344
0 841654 918240
0 899365 850362
1 802145 97240
1 213398 865782
1 430757 349168
1 241461 745046
0 971006 991589
1 766940 11472
1 482177 906087
0 517513 390989
0 760121 878435
1 704694 393321
1 164811 527392
1 780722 919715
1 398763 653156
1 123986 629628
0 920104 222710
1 726735 96817
1 422265 154157
1 709432 763672
0 989231 490082
0 264044 878720
1 640332 581400
1 372145 128325
0 680515 188770
1 700923 845207
0 924133 522583
0 508788 939057
1 499718 382681
1 532087 210144
1 653105 344082
1 885351 786841
1 451648 854678
0 953153 459232
0 22398 604596
1 454000 224071
1 547537 420411
0 370021 978551
1 118766 838182
0 700689 985417
1 363974 650772
1 816839 911329
0 191834 576779
1 746782 784982
1 710701 957100
0 973957 405738
1 184497 32664
0 877473 209996
0 69975 240677
0 597709 454432
1 581045 856686
1 119238 283898
1 170428 867477
1 850524 945159
1 841407 771595
1 711124 342222
0 56678 83053
1 200492 487205
1 849511 561158
0 281790 129294
0 133144 332195
0 668513 139058
1 64008 714381
1 792109 849212
1 811817 979483
0 39390 9864
0 885465 613947
0 843096 885275
1 501514 287583
1 630939 536700
1 53825 106623
0 576118 682122
0 923317 321738
0 255225 255530
0 47144 770518
0 4535 838230
1 518352 544656
0 811453 263390
1 332326 92880
0 689616 713197
0 505791 710457
1 211119 396651
0 25252 249717
0 998784 941852
1 273475 57941
0 490190 240950
1 716862 346365
0 732445 392757
0 499204 648730
1 324816 454176
1 541172 546490
0 301234 317043
0 497447 321625
1 7787 754589
1 380163 162949
0 156988 551665
1 353789 576220
0 488618 182453
1 862601 352930
0 553740 734133
1 907250 280216
0 855812 12086
0 224433 335844
0 361387 918562
0 146526 351488
0 761615 626929
0 643459 73271
1 893595 311469
0 777957 350502
1 142830 492894
0 270716 527029
1 556309 74885
0 962755 230679
1 788245 82029
1 548172 913951
1 427379 483629
0 136246 831210
1 887723 838700
0 328911 508061
0 433660 26761
1 885930 282780
1 363236 30306
1 339883 930630
1 134533 991474
0 11917 578959
0 965869 475345
0 471415 516820
0 387861 729
1 243500 86216
1 517022 271500
0 495288 969080
1 552863 327107
1 634698 56141
0 1634 619919
1 854618 822459
1 393321 518529
0 471959 307834
1 713747 69284
1 573351 782027
0 146968 961610
1 368825 761099
0 517015 716893
1 797401 446836
0 246859 729089
0 754354 144639
1 387821 982395
1 887026 989161
0 985839 422932
1 151784 299821
1 540690 828593
0 762660 19892
0 874882 603702
1 199866 399282
1 516167 305889
1 303967 161110
0 893826 226006
0 371325 428997
1 435705 657134
1 376530 590604
0 151014 892457
0 320068 903817
0 900892 276630
0 663594 382340
1 211735 298824
1 811132 580585
1 21579 460988
1 783727 324178
0 608719 400712
0 514186 186360
0 821579 815736
1 45640 982411
1 906874 801198
1 851107 959522
1 562497 159414
1 574221 730012
0 936219 604982
0 28030 987643
1 696767 690473
1 741073 106396
0 215273 992070
0 290300 912636
1 621107 332361
1 873816 493787
0 882813 233682
1 86189 510107
1 313759 118012
1 723703 348164
1 35204 753940
0 20923 451051
1 63643 444029
0 768309 616860
1 205376 659324
0 494975 155427
1 110389 374323
0 451088 487570
1 294156 754054
1 507865 523157
0 864468 870595
1 59963 777977
0 511158 760782
0 824806 402406
1 800202 180960
0 365479 739745
1 676570 692122
1 182734 53329
1 983780 949105
0 398104 700822
1 652773 225258
0 762173 570922
1 55512 97317
1 86373 452933
1 8389 972262
1 226477 918093
1 121496 208702
0 513882 743935
0 182060 96296
1 144056 620841
1 470680 828805
0 461929 309905
1 524249 562403
1 454210 904970
0 744350 876314
1 427954 309010
0 161253 455633
1 625394 689035
0 366099 925072
1 374018 119918
0 23399 975658
0 76550 479222
1 863730 609315
0 566095 503400
1 129423 232366
0 324047 485237
0 733366 239742
1 386236 202040
1 624624 650267
0 991593 931044
1 199299 510713
1 969158 323677
0 898293 412674
1 731023 32473
0 954680 305477
0 634198 790200
1 425513 213053
1 83211 888643
1 1289 600126
0 643946 66505
1 717255 558433
1 830561 876275
1 103192 90803
1 966848 323806
1 663573 739059
1 746478 784005
0 999341 242448
1 633824 123988
0 324811 647381
1 896543 256514
0 628630 973713
1 967666 838451
1 683398 669616
1 225104 508227
0 719531 938765
0 207884 483415
1 580678 573129
1 157948 462399
1 193413 782084
1 138533 918435
0 703590 681114
0 250551 303123
1 697900 779723
1 323987 138480
1 549836 238395
0 223685 263331
0 294564 278944
1 637496 85350
0 439078 314706
1 776225 285190
0 158044 9696
0 545619 967721
0 601590 548362
1 375840 78007
1 87622 606033
0 274692 348689
0 24561 815201
1 844660 472058
1 418630 190328
1 565288 781862
1 78816 319190
0 863466 30016
1 285140 17641
0 112480 736309
1 805169 102648
